contentid,originimgurl,smallimageurl,cpyrhtDivCd,imgname,serialnum
2747957,http://tong.visitkorea.or.kr/cms/resource/75/2747975_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2747975_image2_1.jpg,Type3,강원평화누리길_16코스_코스전경(3),2747975_7
2753110,http://tong.visitkorea.or.kr/cms/resource/26/2752926_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/26/2752926_image3_1.JPG,Type3,꽃내라팜_전경1,2752926_3
2753110,http://tong.visitkorea.or.kr/cms/resource/27/2752927_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/27/2752927_image2_1.JPG,Type3,꽃내라팜_전경2,2752927_4
2753110,http://tong.visitkorea.or.kr/cms/resource/29/2752929_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/29/2752929_image2_1.JPG,Type3,꽃내라팜_주변물가,2752929_2
2753110,http://tong.visitkorea.or.kr/cms/resource/30/2752930_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/30/2752930_image2_1.JPG,Type3,꽃내라팜_텐트,2752930_1
2774697,http://tong.visitkorea.or.kr/cms/resource/68/3516868_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/3516868_image3_1.jpg,Type1,고성_오호항 (2),3516868_2
2774697,http://tong.visitkorea.or.kr/cms/resource/69/3516869_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/3516869_image3_1.jpg,Type1,고성_오호항 (3),3516869_3
2774697,http://tong.visitkorea.or.kr/cms/resource/70/3516870_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/3516870_image3_1.jpg,Type1,고성_오호항 (4),3516870_5
2774697,http://tong.visitkorea.or.kr/cms/resource/71/3516871_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/3516871_image3_1.jpg,Type1,고성_오호항 (5),3516871_7
2774697,http://tong.visitkorea.or.kr/cms/resource/72/3516872_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/3516872_image3_1.jpg,Type1,고성_오호항 (6),3516872_6
2774697,http://tong.visitkorea.or.kr/cms/resource/73/3516873_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/3516873_image3_1.jpg,Type1,고성_오호항 (7),3516873_1
2774697,http://tong.visitkorea.or.kr/cms/resource/74/3516874_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/3516874_image3_1.jpg,Type1,고성_오호항 (8),3516874_4
2782478,http://tong.visitkorea.or.kr/cms/resource/04/2786604_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2786604_image2_1.jpg,Type3,강원_고성_해파랑길49코스_염관식 04,2786604_2
2782478,http://tong.visitkorea.or.kr/cms/resource/07/2786607_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2786607_image3_1.jpg,Type3,강원_고성_해파랑길49코스_염관식 06,2786607_4
2782478,http://tong.visitkorea.or.kr/cms/resource/09/2786609_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2786609_image3_1.jpg,Type3,강원_고성_해파랑길49코스_염관식 07,2786609_3
2782478,http://tong.visitkorea.or.kr/cms/resource/12/2786612_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2786612_image3_1.jpg,Type3,강원_고성_해파랑길49코스_염관식 01,2786612_1
2782486,http://tong.visitkorea.or.kr/cms/resource/89/2786589_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2786589_image3_1.jpg,Type3,강원_고성_해파랑길48코스_염관식 02,2786589_3
2782486,http://tong.visitkorea.or.kr/cms/resource/91/2786591_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2786591_image3_1.jpg,Type3,강원_고성_해파랑길48코스_염관식 05,2786591_1
2782486,http://tong.visitkorea.or.kr/cms/resource/93/2786593_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2786593_image2_1.jpg,Type3,강원_고성_해파랑길48코스_염관식 07,2786593_2
2782509,http://tong.visitkorea.or.kr/cms/resource/76/2786576_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2786576_image2_1.jpg,Type3,강원_고성_해파랑길47코스_염관식 02,2786576_1
2782509,http://tong.visitkorea.or.kr/cms/resource/78/2786578_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2786578_image2_1.jpg,Type3,강원_고성_해파랑길47코스_염관식 03,2786578_3
2782509,http://tong.visitkorea.or.kr/cms/resource/80/2786580_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2786580_image3_1.jpg,Type3,강원_고성_해파랑길47코스_염관식 04,2786580_2
2782509,http://tong.visitkorea.or.kr/cms/resource/81/2786581_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/2786581_image2_1.jpg,Type3,강원_고성_해파랑길47코스_염관식 05,2786581_5
2782509,http://tong.visitkorea.or.kr/cms/resource/83/2786583_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2786583_image3_1.jpg,Type3,강원_고성_해파랑길47코스_염관식 06,2786583_4
2782584,http://tong.visitkorea.or.kr/cms/resource/16/2786516_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2786516_image3_1.jpg,Type3,강원_고성_백촌막국수_염관식 01,2786516_3
2782584,http://tong.visitkorea.or.kr/cms/resource/19/2786519_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2786519_image3_1.jpg,Type3,강원_고성_백촌막국수_염관식 02,2786519_2
2782584,http://tong.visitkorea.or.kr/cms/resource/21/2786521_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2786521_image3_1.jpg,Type3,강원_고성_백촌막국수_염관식 03,2786521_1
2782917,http://tong.visitkorea.or.kr/cms/resource/64/2793064_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2793064_image2_1.jpg,Type3,강원_고성_글라스하우스_풍경2,2793064_5
2782917,http://tong.visitkorea.or.kr/cms/resource/66/2793066_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2793066_image3_1.jpg,Type3,강원_고성_글라스하우스_풍경3,2793066_8
2782917,http://tong.visitkorea.or.kr/cms/resource/69/2793069_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2793069_image3_1.jpg,Type3,강원_고성_글라스하우스_풍경4,2793069_7
2782917,http://tong.visitkorea.or.kr/cms/resource/07/2919307_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2919307_image3_1.jpg,Type3,글라스하우스_1,2919307_6
