contentid,contenttypeid,serialnum,infoname,infotext,fldgubun
129889,14,0,체험프로그램,문화학교의 다양한 교육강좌를 선택해서 들을수 있다.,1
129889,14,1,소장품현황,"도서, 비디오, CD등",1
129889,14,2,사업내용,"향토문화사 조사 연구 및 사료 수집발굴, 각종 전시활동, 각종 경연대회 개최, 지역사회교육, 각종 문화예술행사 주관, 문화학교 개설 운영",1
129889,14,3,예약안내,033-681-4146 / 033- 680-3695,3
130734,14,0,체험프로그램,평생교육 프로그램 / 독서문화 프로그램 / 문화 활동 강좌,1
1922074,14,0,한국어 안내서비스,가능,3
2514838,14,0,체험프로그램,나만의 컵 만들기 / 테라코타 반 / 색채 심리 상담 등,1
2514838,14,1,예약안내,,3
