contentid,originimgurl,imgname,smallimageurl,cpyrhtDivCd,serialnum
125706,http://tong.visitkorea.or.kr/cms/resource/57/3029057_image2_1.jpg,화진포(강원평화지역 국가지질공원)14_금구교에서 바라본 동해,http://tong.visitkorea.or.kr/cms/resource/57/3029057_image3_1.jpg,Type3,3029057_14
125706,http://tong.visitkorea.or.kr/cms/resource/61/3029061_image2_1.jpg,화진포(강원평화지역 국가지질공원)18_이승만별장,http://tong.visitkorea.or.kr/cms/resource/61/3029061_image3_1.jpg,Type3,3029061_13
125706,http://tong.visitkorea.or.kr/cms/resource/64/3029064_image2_1.jpg,화진포설화,http://tong.visitkorea.or.kr/cms/resource/64/3029064_image3_1.jpg,Type3,3029064_20
125715,http://tong.visitkorea.or.kr/cms/resource/72/3070072_image2_1.jpg,교암해변 (1),http://tong.visitkorea.or.kr/cms/resource/72/3070072_image3_1.jpg,Type3,3070072_5
125715,http://tong.visitkorea.or.kr/cms/resource/73/3070073_image2_1.jpg,교암해변 (2),http://tong.visitkorea.or.kr/cms/resource/73/3070073_image3_1.jpg,Type3,3070073_6
125715,http://tong.visitkorea.or.kr/cms/resource/74/3070074_image2_1.jpg,교암해변 (3),http://tong.visitkorea.or.kr/cms/resource/74/3070074_image3_1.jpg,Type3,3070074_8
125715,http://tong.visitkorea.or.kr/cms/resource/75/3070075_image2_1.jpg,교암해변 (4),http://tong.visitkorea.or.kr/cms/resource/75/3070075_image3_1.jpg,Type3,3070075_9
125715,http://tong.visitkorea.or.kr/cms/resource/76/3070076_image2_1.jpg,교암해변 (5),http://tong.visitkorea.or.kr/cms/resource/76/3070076_image3_1.jpg,Type3,3070076_4
125715,http://tong.visitkorea.or.kr/cms/resource/77/3070077_image2_1.jpg,교암해변 (6),http://tong.visitkorea.or.kr/cms/resource/77/3070077_image3_1.jpg,Type3,3070077_2
125715,http://tong.visitkorea.or.kr/cms/resource/78/3070078_image2_1.jpg,교암해변 (7),http://tong.visitkorea.or.kr/cms/resource/78/3070078_image3_1.jpg,Type3,3070078_1
125715,http://tong.visitkorea.or.kr/cms/resource/79/3070079_image2_1.jpg,교암해변 (8),http://tong.visitkorea.or.kr/cms/resource/79/3070079_image3_1.jpg,Type3,3070079_7
125715,http://tong.visitkorea.or.kr/cms/resource/80/3070080_image2_1.jpg,교암해변 (9),http://tong.visitkorea.or.kr/cms/resource/80/3070080_image3_1.jpg,Type3,3070080_3
125739,http://tong.visitkorea.or.kr/cms/resource/73/3515773_image2_1.jpg,강원고성_장신유원지 (3),http://tong.visitkorea.or.kr/cms/resource/73/3515773_image3_1.jpg,Type1,3515773_2
125739,http://tong.visitkorea.or.kr/cms/resource/74/3515774_image2_1.jpg,강원고성_장신유원지 (1),http://tong.visitkorea.or.kr/cms/resource/74/3515774_image3_1.jpg,Type1,3515774_7
125739,http://tong.visitkorea.or.kr/cms/resource/75/3515775_image2_1.jpg,강원고성_장신유원지 (2),http://tong.visitkorea.or.kr/cms/resource/75/3515775_image3_1.jpg,Type1,3515775_3
125739,http://tong.visitkorea.or.kr/cms/resource/76/3515776_image2_1.jpg,강원고성_장신유원지 (4),http://tong.visitkorea.or.kr/cms/resource/76/3515776_image3_1.jpg,Type1,3515776_9
125739,http://tong.visitkorea.or.kr/cms/resource/77/3515777_image2_1.jpg,강원고성_장신유원지 (5),http://tong.visitkorea.or.kr/cms/resource/77/3515777_image3_1.jpg,Type1,3515777_8
125739,http://tong.visitkorea.or.kr/cms/resource/79/3515779_image2_1.jpg,강원고성_장신유원지 (10),http://tong.visitkorea.or.kr/cms/resource/79/3515779_image3_1.jpg,Type1,3515779_4
125739,http://tong.visitkorea.or.kr/cms/resource/80/3515780_image2_1.jpg,강원고성_장신유원지 (7),http://tong.visitkorea.or.kr/cms/resource/80/3515780_image3_1.jpg,Type1,3515780_6
125739,http://tong.visitkorea.or.kr/cms/resource/81/3515781_image2_1.jpg,강원고성_장신유원지 (8),http://tong.visitkorea.or.kr/cms/resource/81/3515781_image3_1.jpg,Type1,3515781_5
125739,http://tong.visitkorea.or.kr/cms/resource/82/3515782_image2_1.jpg,강원고성_장신유원지 (9),http://tong.visitkorea.or.kr/cms/resource/82/3515782_image3_1.jpg,Type1,3515782_1
125752,http://tong.visitkorea.or.kr/cms/resource/11/3016711_image2_1.jpg,고성_화암사(고성) (10),http://tong.visitkorea.or.kr/cms/resource/11/3016711_image3_1.jpg,Type3,3016711_4
125752,http://tong.visitkorea.or.kr/cms/resource/12/3016712_image2_1.jpg,고성_화암사(고성) (9),http://tong.visitkorea.or.kr/cms/resource/12/3016712_image3_1.jpg,Type3,3016712_6
125752,http://tong.visitkorea.or.kr/cms/resource/13/3016713_image2_1.jpg,고성_화암사(고성) (8),http://tong.visitkorea.or.kr/cms/resource/13/3016713_image3_1.jpg,Type3,3016713_2
125752,http://tong.visitkorea.or.kr/cms/resource/14/3016714_image2_1.jpg,고성_화암사(고성) (7),http://tong.visitkorea.or.kr/cms/resource/14/3016714_image3_1.jpg,Type3,3016714_5
125752,http://tong.visitkorea.or.kr/cms/resource/15/3016715_image2_1.jpg,고성_화암사(고성) (6),http://tong.visitkorea.or.kr/cms/resource/15/3016715_image3_1.jpg,Type3,3016715_9
125752,http://tong.visitkorea.or.kr/cms/resource/16/3016716_image2_1.jpg,고성_화암사(고성) (5),http://tong.visitkorea.or.kr/cms/resource/16/3016716_image3_1.jpg,Type3,3016716_3
125752,http://tong.visitkorea.or.kr/cms/resource/17/3016717_image2_1.jpg,고성_화암사(고성) (4),http://tong.visitkorea.or.kr/cms/resource/17/3016717_image3_1.jpg,Type3,3016717_7
125752,http://tong.visitkorea.or.kr/cms/resource/18/3016718_image2_1.jpg,고성_화암사(고성) (3),http://tong.visitkorea.or.kr/cms/resource/18/3016718_image3_1.jpg,Type3,3016718_8
125752,http://tong.visitkorea.or.kr/cms/resource/20/3016720_image2_1.jpg,고성_화암사(고성) (1),http://tong.visitkorea.or.kr/cms/resource/20/3016720_image3_1.jpg,Type3,3016720_1
125804,http://tong.visitkorea.or.kr/cms/resource/66/3332466_image2_1.jpg,고성_고성 왕곡마을 (8),http://tong.visitkorea.or.kr/cms/resource/66/3332466_image3_1.jpg,Type3,3332466_4
125804,http://tong.visitkorea.or.kr/cms/resource/67/3332467_image2_1.jpg,고성_고성 왕곡마을 (9),http://tong.visitkorea.or.kr/cms/resource/67/3332467_image2_1.jpg,Type3,3332467_9
125804,http://tong.visitkorea.or.kr/cms/resource/68/3332468_image2_1.jpg,고성_고성 왕곡마을 (10),http://tong.visitkorea.or.kr/cms/resource/68/3332468_image2_1.jpg,Type3,3332468_8
125804,http://tong.visitkorea.or.kr/cms/resource/69/3332469_image2_1.jpg,고성_고성 왕곡마을 (2),http://tong.visitkorea.or.kr/cms/resource/69/3332469_image2_1.jpg,Type3,3332469_7
