contentid,contenttypeid,infocenterculture,usetimeculture,restdateculture,parkingculture,chkbabycarriageculture,chkpetculture,chkcreditcardculture,scale,usefee,discountinfo,spendtime,parkingfee,accomcountculture
129889,14,033-681-2922,"하절기 10:00~20:00, 10:00~18:00 <br> 동절기 10:00~19:00, 10:00~17:00",연중무휴,가능<br>요금(무료),없음,,없음,,,,,,
130734,14,033-682-4886,[종합자료실] 09:00~18:00<br /> [디지털자료실] 09:00~18:00<br /> [열람실] 08:00~23:00,월요일 정기휴관 / 일요일을 제외한 법정공휴일 / 임시휴관일,가능,없음,,없음,지상 2층,,,,무료,좌석수 175석
1922074,14,033-680-3677,[하절기(11월~2월)]<br>09:00~18:00<br>[동절기(3월~10월)]<br>09:00~17:30,연중무휴,가능,,,,,"[개인]<br>- 일반 3,000원<br>- 청소년, 어린이 2,300원<br>[단체(30명 이상)]<br>- 일반 2,300원<br>- 청소년, 어린이 1,600원",,,무료,
2514838,14,033-632-6632,10:00~18:00 (입장마감 17:30)<br>※ 동절기(12 월~2월) 입장마감 17:00,매주 월요일,가능,없음,,없음,,"- 일반 13,000원<br>- 초·중·고 7,000원<br>- 유아(36개월 이상) 5,000원",,,,
2791407,14,033-680-3674,09:00~18:00,연중무휴,가능,없음,,없음,,"어른 5,000원, 청소년군인 4,000원, 어린이(7~12세) 3,000원 <br>※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망","고성군민 국가유공자, 1~3급 장애인 무료, 65세 이상 50%할인",,,
736620,14,033-682-0088,[춘추기(3월~7월14일 / 8월21일~10월31일)]<br>09:00~16:50<br>[하절기(7월15일~8월20일)]<br>09:00~17:00<br>[동절기(11월1일~2월28일)]<br>09:00~15:50,연중무휴,가능,,,,,"[개인]<br> - 일반 3,000원<br>- 청소년, 경로 1,500원<br>[단체(30인 이상)]<br> - 일반 2,000원<br>- 청소년 1,200원<br>- 경로 1,000원",,약 1시간," - 9인승 이하 5,000원 <br> - 10인승 이상 6,000원<br> - 단체버스 6,000원",
778140,14,033-681-0625,[하절기(3월~10월)] 09:00~18:00 (입장 마감 17:00)<br> [동절기(11월~2월)] 09:00~17:00 (입장 마감 16:00),"매주 월요일 (단, 월요일이 공휴일인 경우 그 다음날 휴관) / 1월 1일",가능,,,,,무료,,40분~1시간 30분,,
