contentid,contenttypeid,serialnum,infoname,infotext,fldgubun
1911421,38,0,입점브랜드,"가경아트, 갤러리운수, 고운한지공예, 까마종맘키드크래프트, 명인목침, 예소담, 무늬공방 미당, 박미숙 칠보, 성협, 초려공방, 솜씨공예 신도아트, 카라빈카, 예방갈무리, 이보열공방 제주명품갈옷, 솔비, 태공방, 한성피앤씨 등",2
2776851,38,0,제조자 이름,,1
2776851,38,1,입점브랜드,,2
